match_id,puuid,gamer_name,tag_line,partner_group_id,companion,gold_left,placement,win
NA1_5183295671,l4fc-l-lEfARffj-ti4fNMZktqnaI5Z04DL0CVEwKaaIC7pG4ipu65mlvzUNQ5T-vt1nva0av7wcfw,taco clock,NA1,,PetUmbra,0,1,True
NA1_5183295671,zRduWH_pUyqeSsbwR12AshU9UYaswDelgrJJ0QJ2fQDN5zjMJuj4cjBSWvnDcGizgtNqqA5WC78fQg,ST0VER,420,,PetScuttleCrab,4,5,False
NA1_5183295671,NsNypKNnYlILX-z4wto-F_gVvG4ODVyHvRwLLR3c_BIEcDHGPbc9JGcP09MfVYvrD-CvDIKID_WKaA,Lomo267,NA1,,PetChibiCaitlyn,2,8,False
NA1_5183295671,Zm4KcpNhJ9G1zNn22K5euVBoRQE5Zl3R18_e21ras_pD3LqX3DvKDgoEpXZpt_uR8LEy-0_uqM928A,elizon98,6660,,PetChibiEzreal,2,6,False
NA1_5183295671,PLSyz7BqfZdSRSHqHvph5CHPbFWTlMCOp7ULkFrBKTraJgMUyevrlw2lXY7ylwT_y5Hw4diaQMhVOw,Ramen,812,,PetChibiAshe,2,2,True
NA1_5183295671,4cBl8o7ekLNLQfjEc1dXrsGlA2XTcPczjfo_I_LJNVrzHsWpM-snKTu3lVrpfG4wh7vjdTmc0BRSqw,Raesah,ting,,PetStyleTwoJinx,2,4,True
NA1_5183295671,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,2,3,True
NA1_5183295671,BJ7UzlKMxpDZQTGI2sJUjjSzcFajluICecm2JKc3GlJRRSLrTR9uvbX3CPKfXTW1YxMp2IcxBj-g4w,aaamihan,NA1,,PetChoncc,11,7,False
NA1_5195602920,v915hXY366-DDsjN1GFpRLuoZhdYqbnfIKT5ZdMiBlH_eYLsSwWhba2RCGsJdlfv7kM0ixRdvQQdhw,unparalleled,UTH,,PetTFTAvatar,2,5,False
NA1_5195602920,2jJvwkv2aYIv8yKlqJXe-NaNp1DngyS_d5BF6kTR56ZBiK9u4RIMRBV70EuEKv5TYb0b0Lnyd7pBKg,BOHICA70x,NA1,,PetSGShisa,19,2,True
NA1_5195602920,-ucrptr1HrhMJLogn14oIvUSiQgSYSSBwoRb5B9QAm2vGVMNuFtqhScEdlk9z5Pso5ZxkutzuXh_YQ,fdse,gfdsa,,PetSpiritFox,4,3,True
NA1_5195602920,6pEh8gN37ulEDRvREg0TGm2Pc54EfPf69rmbBVuujtH64zAgKiXJZ_kGfvTm9eLmtbeW2eqTjg1d6Q,NeonRhubarb,neon,,PetBellswayer,2,6,False
NA1_5195602920,J2DAty0YrgaFNCAzufB66-nhLHC2GmmqMuSnPslOGCf3vEs1MHw9ZhsFyIDYJJep6mfFH3ilO7OCfQ,DaGr8HB,NA1,,PetSennaBunny,0,1,True
NA1_5195602920,7Hs2JA_PD4IiXYE2LXcZcgcmAE9ki6C08fRVrc6ZWZvQHgzWF3_lR1YF6c0FNa1uHq60w1nmyw03SQ,PTT AnthonyJz,NA1,,PetGloop,3,8,False
NA1_5195602920,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,3,7,False
NA1_5195602920,r7qjcc3mklZkiBRx_LRKpiuJjVJTYae57iYGMwsBbHlyElyQcIUZWq5umJtWetru24xlWQt_tMqpdw,JSAwkward,NA1,,PetTFTAvatar,5,4,True
NA1_5190399432,MYGRHiSOS67UypnxyA45hp9qon6Zrw81s_YDBkh_hX6ie9Ppe1w9H3wrDvNvZ7BWDlUdQFEkFE5ANg,CÜC,NA1,1,PetChibiMalphite,2,3,True
NA1_5190399432,gOjSrs4EMhkHcADzyOR5UszcvvuiJJwiJGlskRr-b-Hxn6ez6TPzqukrX_1Ln44rcru-HfVmOhvPRA,Uncle Rub my PP,NA1,1,PetCreepyCat,1,4,True
NA1_5190399432,uZRDGxyPSQ1g_VhsFZTuIqHvb7lwtAcX6BRhs3pxWeQUavVwo9PdRhtaoRxGv4aoer6KefQU9POu-g,Arvin,Yaboi,2,PetChibiYuumi,17,8,False
NA1_5190399432,S31pBA0yNIsAP6_QrDk9aNYTcjSq0iblPXT7Ck56slosYswQxBuVEc5OW5gS0bk53CubUT7fHaaB1Q,Ziggs Toe Pics,yummy,2,PetChibiIrelia,2,7,False
NA1_5190399432,B4Ykz41ZnI8mCSfXAA9pzcHOkBGTKiKJM2CB4VrbuDDxN6vxbaoZpqm_mHvavAGDJ8wHxUHWlLC4Hw,adepzai,NA1,3,PetChibiZed,0,5,False
NA1_5190399432,Nl-2wZmb7FkTYj5nVwoMcpX9hDyhlv8R9HP_KW_TLBC0hdJkhun074A5ws1i-gMDQ6aAgQiOrinCFg,RefundVCL,NA1,3,PetBuglet,17,6,False
NA1_5190399432,DqNKF8vPZ9JKsUhKOQ39ijH2p3w660wHowxqnBPnihBgeHyj4Ws7LS9xlHm2lY9claiP_ztgZcDjDQ,PPG Rex,PPG,4,PetScuttleCrab,33,2,True
NA1_5190399432,YYZmpLUGntxc3Bj6CL5swa5-uwQwi502U3iYJI-WQCNncqXGwGgCEBtZqcSGsGJh6lwsQbXah5bWCw,PPG Mirotix,NA1,4,PetChibiMissFortune,1,1,True
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,Jables,231,,PetChibiSett,2,7,False
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,Philippine chan,7504,,PetDSWhale,9,5,False
NA1_5210875842,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,2,1,True
NA1_5210875842,66hfS66DqH53p6GwQVgFf8l34vTTabCLNK-6n1fb5Rs3mh4PYvbXvvz2l-9Sg5lp4MIc_jMqrak8UQ,PANAW,x4nne,,PetBigKnifeDog,2,2,True
NA1_5210875842,0jCc0quij5N5QVUHwujKoMmidouwBU-wGClMgee_Z2vO27ixaf6Oe8S_3MmFPMK5i6vPSfdPQcocZg,JU5TCHR1S,NA1,,PetAoShin,3,4,True
