match_id,puuid,name,num_units,style,tier_current,tier_total
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Academy,1,0,0,4
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Bruiser,1,0,0,3
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Challenger,1,0,0,3
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Family,1,0,0,3
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Invoker,1,0,0,4
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Martialist,1,0,0,3
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Rebel,6,2,2,4
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Titan,2,1,1,3
NA1_5210875842,deRMgetZt6RpAOJkklxGAoESaoQfgnYREvofeaEko4HEMiDNLtOfiFCh1kmv3n2-t30UEpvfqWaNiw,TFT13_Watcher,1,0,0,3
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Academy,2,0,0,4
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Bruiser,2,1,1,3
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Challenger,1,0,0,3
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Crime,1,0,0,5
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_HighRoller,1,3,1,1
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Invoker,1,0,0,4
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Martialist,1,0,0,3
NA1_5210875842,PkjoFUt5_k14aTQDFvMuPK6InUbcX_BAt33tjO8wNYvg_ijiSjLcV1KGkKNV2I_-GYEWqH8qMXgPVw,TFT13_Pugilist,1,0,0,4
